SIMULATION 2 FACTIONS
Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;
Blue;75;150;30461;30311;18;130;115;15;17;0;48;7;102;23;;Red;77;155875;241109;85234;382;538;439;99;9;8;33;15;87;32;;

Blue;2436;1.32715e+06;7.41502e+06;6.08788e+06;61;14767;13252;1515;7;18;33;15;88;32;;Red;2438;7.94727e+06;1.41174e+07;6.17015e+06;339;14867;13410;1457;9;4;50;5;105;21;;

Red;43;215;2355;2140;14;29;22;7;13;6;41;11;95;31;;Blue;45;1091;13002;11911;58;69;60;9;18;3;31;9;82;25;;

Red;78;1866;53761;51895;139;283;223;60;15;6;48;4;99;22;;Blue;80;2648;55408;52760;118;240;205;35;19;10;43;0;94;20;;

Blue;35;566;1898;1332;14;21;16;5;11;18;45;6;82;22;;Red;37;938;7301;6363;56;70;56;14;6;19;26;5;77;23;;

Blue;3106;921423;8.82347e+06;7.90205e+06;24;18602;16804;1798;14;19;43;7;94;26;;Red;3108;1.04962e+07;1.84997e+07;8.00352e+06;376;18983;16998;1985;7;7;39;2;90;21;;

Red;39;314;4360;4046;25;43;36;7;16;16;49;2;99;19;;Blue;41;8233;22768;14535;115;154;121;33;8;18;36;4;78;21;;

Red;31;217;780;563;3;9;5;4;10;19;35;12;66;30;;Blue;33;450;3932;3482;32;40;34;6;11;17;41;7;93;24;;

Red;38;292;5441;5149;25;49;39;10;10;18;49;5;93;25;;Blue;40;2679;25979;23300;162;208;165;43;7;12;33;11;84;29;;

Red;26;190;1274;1084;8;11;9;2;4;3;31;12;48;30;;Blue;28;565;3296;2731;17;20;17;3;0;0;43;15;80;32;;

Blue;171;1156;252130;250974;49;759;665;94;16;8;42;0;95;17;;Red;173;537618;902377;364759;352;1043;886;157;4;14;38;12;89;30;;

Red;58;1529;34649;33120;114;190;165;25;5;12;31;3;85;23;;Blue;60;4570;42842;38272;100;177;144;33;3;19;29;11;80;29;;

Blue;2254;2.48845e+06;8.1408e+06;5.65235e+06;83;13634;12234;1400;0;18;27;3;79;19;;Red;2256;5.6827e+06;1.14666e+07;5.78387e+06;317;13850;12400;1450;6;1;31;14;82;30;;

Red;2995;1.4357e+06;8.91883e+06;7.48313e+06;48;18100;16234;1866;2;18;36;1;90;19;;Blue;2997;9.97296e+06;1.76393e+07;7.66634e+06;352;18280;16394;1886;4;0;32;11;83;28;;

Red;65;269;27572;27303;17;145;121;24;1;8;38;6;89;22;;Blue;67;50090;134355;84265;357;501;406;95;9;4;43;4;98;22;;

Blue;37;265;2974;2709;18;32;25;7;14;15;42;12;93;28;;Red;39;5163;15811;10648;96;119;96;23;9;17;28;13;71;30;;

Red;65;2520;40083;37563;86;195;163;32;18;10;41;7;94;24;;Blue;67;62840;129892;67052;261;386;310;76;8;2;27;15;78;31;;

Red;380;619490;1.4236e+06;804110;183;2185;1960;225;1;14;25;14;78;30;;Blue;382;556430;1.3826e+06;826171;220;2208;1981;227;5;5;42;3;94;20;;

Red;66;659;18238;17579;35;101;87;14;12;19;42;8;94;24;;Blue;68;5914;53834;47920;180;253;209;44;9;16;29;8;80;24;;

Blue;355;507649;1.38762e+06;879974;194;2284;2033;251;17;8;38;5;89;24;;Red;357;384344;1.2964e+06;912052;204;2275;2033;242;15;17;50;8;104;26;;

Red;81;793;60067;59274;49;221;197;24;16;17;35;5;86;22;;Blue;83;134767;246344;111577;347;556;458;98;13;9;30;8;81;24;;

Red;221;68634;590445;521811;126;1358;1220;138;5;8;28;7;81;23;;Blue;223;297052;858160;561108;277;1472;1303;169;14;13;47;4;99;24;;

Red;46;110;7665;7555;56;78;64;14;10;6;40;1;87;17;;Blue;48;4676;18246;13570;78;93;83;10;18;0;28;7;81;23;;

Red;85;185;27728;27543;4;177;143;34;12;19;50;7;104;23;;Blue;87;126093;233282;107189;398;572;474;98;11;10;36;0;91;16;;

Red;3245;1.06524e+07;1.9153e+07;8.5006e+06;201;19926;17942;1984;19;6;37;13;91;30;;Blue;3247;1.52269e+06;1.00141e+07;8.49142e+06;200;19954;17926;2028;7;18;33;1;87;17;;

Blue;67;206;16438;16232;23;90;79;11;1;0;50;5;104;22;;Red;69;9143;52630;43487;176;256;213;43;2;5;43;3;97;22;;

Blue;2304;614879;6.47931e+06;5.86443e+06;85;13876;12425;1451;0;17;33;4;87;20;;Red;2306;7.83125e+06;1.38728e+07;6.04151e+06;315;14046;12577;1469;8;1;34;5;88;21;;

Blue;1265;999457;4.10884e+06;3.10938e+06;94;7708;6988;720;17;16;44;6;97;22;;Red;1267;3.36612e+06;6.58284e+06;3.21672e+06;311;7877;7079;798;1;3;42;5;96;21;;

Blue;160;26672;321483;294811;110;818;716;102;11;19;29;3;81;19;;Red;162;274403;608547;334144;290;999;851;148;4;14;30;2;85;19;;

Red;171;39473;409984;370511;138;1049;939;110;5;6;36;2;90;19;;Blue;173;311549;737430;425881;260;1171;1042;129;15;13;42;14;93;31;;

Red;772;1.1964e+06;3.07698e+06;1.88058e+06;156;4678;4219;459;14;14;35;9;86;26;;Blue;774;1.47641e+06;3.47162e+06;1.99521e+06;242;4745;4268;477;11;4;47;11;99;28;;

Blue;189;144;270105;269961;33;827;772;55;18;7;27;7;81;23;;Red;191;584119;1.0148e+06;430685;369;1218;1016;202;8;9;48;9;99;27;;

Blue;120;88;80625;80537;6;301;278;23;18;19;45;11;98;28;;Red;122;450603;635048;184445;396;706;585;121;12;7;41;14;93;31;;

Blue;124;256;47622;47366;4;197;181;16;0;1;34;4;88;20;;Red;126;529306;660525;131219;397;663;526;137;8;10;47;13;98;30;;

Blue;187;627;285788;285161;47;843;771;72;18;11;48;6;103;24;;Red;189;565612;978159;412547;353;1152;980;172;8;8;40;14;92;32;;

Blue;479;35;955514;955479;11;2470;2259;211;19;4;34;6;85;23;;Red;481;1.8264e+06;2.96383e+06;1.13743e+06;389;2871;2517;354;0;4;46;9;98;25;;

Red;8599;1.45595e+07;3.63389e+07;2.17795e+07;75;52907;47702;5205;4;2;35;4;87;20;;Blue;8601;1.86355e+07;4.07403e+07;2.21047e+07;327;53221;47845;5376;9;19;47;7;98;25;;

Blue;55;504;15182;14678;38;95;77;18;4;11;46;5;98;23;;Red;57;7053;53326;46273;237;318;252;66;9;11;46;12;97;30;;

Red;1136;590486;3.36798e+06;2.77749e+06;95;6735;6064;671;17;2;33;13;86;30;;Blue;1138;3.3834e+06;6.30968e+06;2.92627e+06;305;6907;6186;721;4;3;29;10;83;26;;

Blue;132;474;112306;111832;5;402;364;38;18;19;29;13;81;32;;Red;134;314411;548069;233658;396;810;662;148;18;9;25;10;77;27;;

Red;43;492;7419;6927;42;59;51;8;6;15;32;9;87;26;;Blue;45;807;8860;8053;50;62;54;8;3;12;34;6;87;26;;

Red;390;464;707206;706742;12;1822;1649;173;18;16;26;4;78;22;;Blue;392;1.49433e+06;2.3645e+06;870175;389;2184;1885;299;2;0;49;11;104;29;;

Red;89;2865;122701;119836;101;410;358;52;13;13;37;9;88;27;;Blue;91;108520;267715;159195;300;617;521;96;7;7;34;4;85;20;;

Blue;649;1.12411e+06;2.71054e+06;1.58643e+06;192;4004;3583;421;4;12;37;6;89;23;;Red;651;1.01939e+06;2.62415e+06;1.60476e+06;210;3981;3576;405;8;1;45;5;99;21;;

Red;89;3899;114398;110499;140;410;350;60;9;3;43;10;96;27;;Blue;91;67064;202150;135086;258;528;449;79;13;7;48;10;101;27;;

Blue;12534;9.97744e+06;4.24545e+07;3.2477e+07;75;76901;69315;7586;14;0;44;4;96;23;;Red;12536;3.53038e+07;6.77201e+07;3.24162e+07;326;77115;69441;7674;6;16;41;1;92;19;;

Blue;353;94398;927423;833025;90;2114;1904;210;7;14;27;0;79;18;;Red;355;763609;1.69079e+06;927184;309;2279;2016;263;15;6;50;5;101;23;;

Red;62;760;20681;19921;62;127;109;18;5;7;29;5;81;21;;Blue;64;6171;43169;36998;106;156;131;25;4;0;44;6;96;24;;

Blue;196;368409;755194;386785;235;1152;1001;151;1;9;31;7;82;24;;Red;198;65271;459554;394283;168;1034;921;113;2;16;45;7;98;25;;

Red;161;103132;364161;261029;192;768;668;100;11;18;42;1;95;17;;Blue;163;190701;450624;259923;212;818;701;117;5;16;42;1;93;17;;

Red;2669;29018;6.73906e+06;6.71004e+06;77;16201;14562;1639;4;0;42;9;94;27;;Blue;2671;9.93766e+06;1.67584e+07;6.82078e+06;323;16407;14717;1690;18;16;33;11;85;28;;

Blue;1546;3.66561e+06;7.55837e+06;3.89277e+06;178;9395;8405;990;6;19;44;9;96;25;;Red;1548;1.57074e+06;5.59485e+06;4.02411e+06;221;9306;8407;899;17;15;46;0;97;16;;

Red;86;19;46533;46514;60;209;183;26;2;11;25;0;78;19;;Blue;88;161708;260491;98783;343;520;427;93;10;2;27;10;80;27;;

Blue;70;190;30315;30125;28;122;109;13;6;18;26;0;79;20;;Red;72;12978;83104;70126;242;378;305;73;7;13;26;14;77;30;;

